concept_id,concept,lexicalization,frequency,aoa
1333,neck,0.993932,311.9236,3
1335,white,0.997837,682.97181,4.06
1337,pig,0.975599,587.22664,3.84
1338,peace,0.754163,154.29994,6.32
1342,summer,0.900086,156.24357,4.33
1344,ram,0.714446,104.16575,8.32
1346,throat,0.996077,136.07758,5.09
1348,boar,0.85131,128.09262,9.83
1350,monkey,0.864103,363.60494,4.21
1352,knife,0.962593,300.82189,4.15
1353,hour,0.782371,182.12267,5.85
1357,daughter,0.982188,719.5141,4.95
1358,enemy,0.92228,148.99267,7.26
1360,duck,0.940747,204.93494,3.5
1361,tool,0.6994,146.85155,5.37
1363,voice,0.935819,203.33503,4.83
1364,healthy,0.946429,148.05972,7.56
1366,boy,0.987723,1688.5471,3.67
1368,bread,0.849291,312.24116,3.58
1369,gold,0.844131,306.2646,7.1
1370,month,0.985062,495.50101,5.79
1371,knee,0.999149,170.03486,4.42
1372,medicine,0.984689,250.74101,4.89
1374,ring,0.877118,214.86923,4.53
1375,window,0.862116,178.04382,4.74
1376,now,0.987615,4919.21869,5.25193
1378,spoon,0.961931,169.87982,2.5
1381,shoe,0.92937,248.16209,2.6
1382,needle,0.988985,113.548,5.32
1384,second,0.777361,442.25062,4.68
1385,pepper,0.695061,108.1542,5.47
1386,lion,0.775695,230.74464,4.42
1387,arrive,0.985986,287.83895,6.26
1388,shade,0.997928,216.38251,5
1389,toe,0.989343,92.84065,3
1390,wrong,0.884782,242.60382,4.22
1391,town,0.889242,404.01535,5.11
1396,sharp,0.99891,194.92537,6.11
1399,clay,0.953422,150.04697,5.32
1401,drink,0.999178,692.16097,3.47
1403,bite,0.995953,231.46189,3.58
1405,name,0.983145,1141.65778,3.68
1406,far,0.84441600000000006,681.36517,4.878935
1410,know,0.98424,3657.10898,4.5
1413,play,0.993932,561.25412,4.1
1414,squeeze,0.963957,131.52279,5.42
1415,think,0.972636,977.27484,4.75
1416,sit,0.989205,676.03287,3.47
1417,kill,0.992985,777.87391,6.35
1420,count,0.947465,173.42033,2.61
1421,suck,0.986265,116.6875,5.58
1423,fight,0.966737,279.80045,5.47
1424,yellow,0.991859,142.52512,3.2
1425,green,0.980505,184.54869,3.79
1426,expensive,0.947256,121.34211,6.33
1427,beautiful,0.99703,406.15995,5.72
1430,star,0.996077,135.59567,3.89
1435,hunt,0.959093,176.83296,6.06
1439,swim,0.97985,126.82808,4.17
1440,spit,0.997928,124.77392999999999,5.06
1442,stand,0.98219,544.74518,4.39
1443,walk,0.98219,587.46421,3.45
1448,hold,0.904088,398.72331,4.67
1449,rub,0.970852,164.64378,4.83
1450,room,0.833837,316.491,4.22
1452,push,0.974796,121.73955,4.26
1453,wash,0.988985,325.23038,4
1457,sew,0.991199,142.08932,6.05
1458,say,0.980488,5890.24175,3.42
1463,drunk,0.967033,233.07765,9.26
1464,ladder,0.903027,271.39629,4.39937
1467,circle,0.856026,136.71962,3.67
1468,look for,0.995356,232.74338,8.72
1469,week,0.753933,258.11188,5.11
1470,fold,0.967526,105.03277,4.95
1472,key,0.829148,91.09709,3.58
1474,sea,0.846713,608.2714,4.74
1475,comb,0.974892,116.41577,5.5
1476,chair,0.952121,143.02032,3.43
1477,keep,0.808473,511.0261,4.42
1480,body,0.995675,422.92083,4.28
1481,hammer,0.844838,105.48756,5.42
1483,nine,0.777564,165.76421,3.2271
1484,oil,0.859393,196.10237,7.33
1485,below or under,0.895824,555.19615,5.667553
1487,pour,0.980118,269.44371,5
1489,cloud,0.992179,136.76251,3.63
1493,one,0.897777,9207.70076,3.2271
1498,two,0.886916,3705.60065,4.239515
1500,four,0.843976,587.83302,4.93222
1501,bore,0.951091,98.57926,7.14
1502,goat,0.832451,428.33279,5.21
1506,measure,0.942025,113.67116,7.53
1507,fruit,0.93765,1126.36202,3.63
1508,king,0.733947,484.00675,5.42
1509,mosquito,0.938419,155.23693,6.1
1510,chin,0.914378,94.14857,4.22
1511,rooster,0.950037,169.07358,6.41
1513,think,0.863405,164.48849,5.44
1514,hen,0.950018,166.17631,6.39
1515,ten,0.90828,353.51463,3.578781
1518,stupid,0.957296,119.32118,4.4
1521,seem,0.831384,145.04523,6.67
1523,forget,0.992985,162.33562,4.78
1524,wine,0.678729,239.42888,7.9
1526,meal,0.820979,192.00832,4.74
1528,forgive,0.824038,109.90613,5.44
1529,last,0.963884,336.72309,4.346085
1530,bowl,0.900393,165.22163,4.26
1535,sword,0.777952,137.52812,5.45
1536,understand,0.955012,335.50767,6.17
1537,springtime,0.68152,197.59594,5.5
1539,basket,0.93907,660.41203,5.67
1540,eyelash,0.949595,93.22601,5.8
1544,sometimes,0.866836,335.22412,6.370915
1545,host,0.731448,95.37435,8.05
1546,twice,0.902382,163.0599,5.89135
1547,soup,0.98524,172.43206,5.37
1548,ugly,0.981257,127.38012,4.17
1558,similar,0.981805,119.49152,7.33
1559,money,0.990165,766.2463,5.11
1561,army,0.706301,168.7513,7.15
1562,mind,0.851802,206.43863,5.37
1564,lazy,0.979493,161.03185,6.39
1565,heaven,0.843754,121.22567,4.22
1567,door,0.981971,638.61768,3.05
1569,cheese,0.576525,109.73495,4.33
1571,sell,0.96886,274.10959,7.05
1572,surprised,0.853146,164.80681,6.63
1574,float,0.940381,97.53118,5.39
1583,brain,0.99186,108.05398,5.76
1586,smell,0.926627,175.2661,4.22
1592,chest,0.999235,181.21058,5.05
1593,deep,0.988985,171.67535,5.47
1594,flour,0.914785,179.42746,6.89
1596,lock,0.723243,122.29578,5.74
1599,word,0.969913,503.60667,4.42
1600,skirt,0.83853,137.45279,5.67
1601,weak,0.97506,122.93921,5.58
1605,skull,0.885123,89.64468,6.33
1606,inside,0.896646,16568.83689,3.685351
1607,hate,0.942878,108.65576,5.53
1608,listen,0.983137,420.63942,5.4
1609,idea,0.764906,931.31281,5.89135
1613,color,0.728498,170.92445,3.5
1616,cloth,0.959365,224.81734,5.3
1618,grandson,0.954387,113.26307,5.89
1619,granddaughter,0.947499,101.81389,4.68
1620,son,0.982188,1017.65752,3.78
1622,shirt,0.899748,204.40452,3.53
1623,speak,0.996294,1757.16044,3.56
1624,empty,0.983365,172.92385,4.79
1626,explain,0.868248,140.23999,6.5
1627,chain,0.806208,142.28083,5.22
1629,evening,0.938199,404.91346,5.84
1631,fast,0.983882,301.82741,3.738636
1632,floor,0.928071,185.95889,4.44
1633,flat,0.922096,198.64306,5.68
1634,hundred,0.806499,255.70804,5.47
1635,obey,0.963592,105.42828,5.44
1639,beer,0.685495,155.0817,6.11
1640,sibling,0.707548,215.95395,7.58
1642,niece,0.833856,110.49027,7
1643,cousin,0.825861,166.04443,4.95
1644,relatives,0.976042,386.87301,6.47
1645,short,0.978951,308.91717,4.32
1646,girl,0.983945,1683.22435,4
1647,foal,0.778429,136.53976,8.44
1651,tear,0.987133,164.63182,4.89
1653,blind,0.996077,130.48632,7
1654,lightning,0.993815,181.20917,4.76
1656,never,0.857235,526.98095,5.070761
1657,true,0.96463,306.73436,4.644481
1663,bed,0.981971,286.3559,2.89
1664,raft,0.643128,98.63014,7.35
1666,mute,0.943938,112.38688,9.84
1667,hole,0.967614,551.22984,5.05
1668,grief,0.976113,96.95522,5
1669,ancestors,0.919348,230.65443,8.61
1671,tower,0.524112,110.54355,6.33
1672,write,0.989205,229.36661,4.89
1674,poor,0.961504,502.53853,6.11
1675,promise,0.817418,100.29775,5.67
1676,always,0.932218,535.0849,6.264345
1682,guilty,0.687698,105.1894,8.05
1686,behind,0.896646,501.93094,4.900249
1687,praise,0.817741,104.86617,7.95
1689,smoke,0.891941,281.95505000000003,4
1690,fence,0.918633,267.87898,6.28
1702,holy,0.6367,193.91905,5.55
1703,six,0.799054,289.048,5.25193
1704,seven,0.777101,350.51662,5.3585
1705,eight,0.783632,273.42087,5.3585
1706,eleven,0.812625,125.13418,5.78478
1707,twelve,0.795674,194.84928,4.484626
1709,fifteen,0.783239,168.66857,6.10449
1711,tell,0.898293,1789.3684,4.26
1712,oath,0.495495,90.95498,11.39
1725,correct,0.962313,1444.62046,4.346085
1726,wet,0.99703,184.43193,2.47
1728,rotten,0.981958,132.87287,6.95
1730,cheek,0.982916,111.27189,5.06
1733,rainbow,0.950748,158.46152,4.26
1743,join,0.932422,131.61009,5.83
1745,hip,0.915694,106.54791,6.17
1747,custom,0.865791,156.95506,8.36
1750,choose,0.9332,150.4068,4.74
1752,leave,0.965031,772.80471,5.58
1753,top,0.983092,774.58714,3.89
1754,bracelet,0.803963,162.59227,5.68
1756,widow,0.972121,102.12451,9
1766,finish,0.99703,353.54418,6.32
1767,scrape,0.964192,127.22236,6.21
1768,foam,0.960607,96.06846,6.15
1773,grave,0.956107,257.12454,7.06
1774,stingy,0.963066,91.37536,7.78
1775,table,0.929017,256.68872,4.39
1776,shame,0.960131,112.22743,6.55
1779,dare,0.713365,116.52782,6.63
1782,guest,0.853735,198.7618,6.21
1783,pain,0.988985,198.81406,4.26
1784,want,0.935954,1841.70918,4.16
1789,age,0.828781,214.89062,4.38
1791,butterfly,0.974039,154.59403,3.67
1793,bat,0.970717,266.68275,4.85
1801,child,0.829008,4939.97401,4.28
1803,wood,0.989546,469.99644,4.58
1807,afternoon,0.9158,264.43515,4.65
1810,danger,0.798502,92.09943,4.61
1811,sound or noise,0.948083,413.96854,3.72
1812,try,0.913816,391.97238,3.44
1817,west,0.908431,269.66366,5.89
1820,bear,0.651271,479.07162,3.58
1823,borrow,0.893252,94.28518,6.95
1828,ask,0.96194,100.62681,8.74
1831,meet,0.974636,292.38006,4.74
1833,dinner,0.596791,139.47614,3.99
1838,navel,0.988985,118.61322,3.78
1839,cry,0.998717,725.11074,2.78
1840,build,0.948849,324.6005,4.45
1843,thousand,0.749201,219.21536,6.6
1844,boat,0.874041,283.29498,3.84
1845,ball,0.849665,195.03878,2.9
1847,sick,0.993932,430.11161,4.05
1848,quarrel,0.949527,111.67331,8.32
1850,cotton,0.902324,145.90022,6
1851,pocket,0.793345,176.54442,4.74
1852,often,0.866704,353.85758,6.53077
1853,dove,0.902424,129.91299,6.63
1856,soft,0.990583,145.99938,3.95
