glottocode,word,sum_count,same_meaning,glottolog_langname
stan1288,open,10343,TRUE,Spanish
nucl1643,age,10330,FALSE,Japanese
stan1290,stock,10304,TRUE,French
stan1290,commerce,10299,TRUE,French
wels1247,math,10266,FALSE,Welsh
stan1290,building,10217,FALSE,French
stan1288,pay,10205,FALSE,Spanish
stan1288,paper,10170,TRUE,Spanish
mand1415,account,10158,TRUE,Mandarin Chinese
stan1290,suite,10127,TRUE,French
mand1415,group,10071,FALSE,Mandarin Chinese
stan1290,joint,10017,TRUE,French
stan1288,use,9980,TRUE,Spanish
lati1261,fit,9934,FALSE,Latin
stan1290,pull,9921,TRUE,French
stan1290,pipe,9910,TRUE,French
stan1288,men,9898,FALSE,Spanish
stan1290,pin,9890,FALSE,French
stan1290,cross,9883,TRUE,French
stan1290,speech,9867,FALSE,French
stan1290,coups,9858,FALSE,French
dutc1256,have,9856,FALSE,Dutch
stan1290,race,9846,TRUE,French
stan1290,condition,9835,TRUE,French
stan1288,top,9815,TRUE,Spanish
stan1290,pendant,9789,FALSE,French
lati1261,com,9751,FALSE,Latin
stan1290,chance,9743,TRUE,French
stan1290,ion,9723,FALSE,French
stan1290,plate,9719,TRUE,French
stan1290,terrain,9686,TRUE,French
stan1290,match,9641,TRUE,French
mand1415,moon,9617,FALSE,Mandarin Chinese
stan1290,grain,9589,TRUE,French
ital1282,persona,9584,FALSE,Italian
stan1295,rich,9581,FALSE,German
stan1288,stand,9565,FALSE,Spanish
mand1415,lie,9545,FALSE,Mandarin Chinese
dutc1256,part,9541,TRUE,Dutch
dutc1256,man,9447,FALSE,Dutch
nucl1643,son,9411,FALSE,Japanese
stan1290,shop,9411,FALSE,French
stan1288,par,9407,TRUE,Spanish
stan1288,hold,9388,TRUE,Spanish
stan1295,ran,9372,FALSE,German
mand1415,wan,9368,FALSE,Mandarin Chinese
stan1290,robe,9365,TRUE,French
stan1295,son,9365,FALSE,German
stan1295,rot,9352,FALSE,German
stan1290,danger,9351,TRUE,French
stan1290,support,9345,TRUE,French
stan1290,conversation,9337,TRUE,French
stan1290,prison,9328,TRUE,French
nucl1643,chin,9299,FALSE,Japanese
stan1290,mode,9299,TRUE,French
stan1288,show,9290,TRUE,Spanish
stan1290,deal,9290,TRUE,French
stan1290,pro,9280,FALSE,French
stan1290,slang,9262,TRUE,French
wels1247,bob,9262,FALSE,Welsh
mand1415,pan,9246,FALSE,Mandarin Chinese
stan1288,vista,9226,TRUE,Spanish
stan1290,accord,9223,TRUE,French
stan1295,rate,9219,TRUE,German
stan1290,suit,9217,FALSE,French
lati1261,age,9163,FALSE,Latin
mand1415,dog,9153,FALSE,Mandarin Chinese
stan1290,habit,9149,FALSE,French
viet1252,bay,9143,FALSE,Vietnamese
stan1295,pick,9136,FALSE,German
stan1295,lost,9111,TRUE,German
stan1288,fit,9108,TRUE,Spanish
stan1290,bureau,9099,TRUE,French
stan1295,block,9094,TRUE,German
wels1247,dim,9081,FALSE,Welsh
viet1252,man,9066,FALSE,Vietnamese
stan1290,canon,9063,TRUE,French
stan1290,comment,9057,FALSE,French
lati1261,male,9009,FALSE,Latin
stan1290,job,8993,TRUE,French
stan1290,direction,8950,TRUE,French
mand1415,dry,8871,FALSE,Mandarin Chinese
stan1290,saint,8863,TRUE,French
stan1290,base,8860,TRUE,French
stan1290,centre,8858,TRUE,French
stan1295,bell,8857,FALSE,German
stan1290,motion,8852,TRUE,French
stan1290,station,8851,TRUE,French
stan1290,surface,8817,TRUE,French
stan1295,firm,8746,FALSE,German
roma1327,care,8732,FALSE,Romanian
stan1290,date,8718,TRUE,French
stan1288,country,8716,TRUE,Spanish
stan1295,lock,8716,FALSE,German
stan1290,voyage,8709,TRUE,French
stan1288,real,8702,TRUE,Spanish
iris1253,sin,8688,FALSE,Irish
stan1295,angel,8657,FALSE,German
stan1290,expression,8642,TRUE,French
stan1290,distance,8606,TRUE,French
stan1295,taste,8602,FALSE,German
stan1290,tire,8600,TRUE,French
stan1288,table,8592,FALSE,Spanish
stan1290,cent,8592,TRUE,French
stan1290,hit,8587,FALSE,French
ital1282,set,8567,TRUE,Italian
stan1290,ants,8564,FALSE,French
stan1295,hole,8544,FALSE,German
stan1290,agent,8537,TRUE,French
scot1243,made,8513,FALSE,Scots
stan1288,natural,8513,TRUE,Spanish
stan1290,passion,8509,TRUE,French
stan1290,able,8483,FALSE,French
stan1290,sec,8467,FALSE,French
stan1290,combat,8460,TRUE,French
mand1415,pen,8437,FALSE,Mandarin Chinese
stan1290,pair,8429,FALSE,French
stan1290,usage,8398,TRUE,French
stan1288,box,8362,TRUE,Spanish
stan1290,balance,8361,TRUE,French
stan1290,fat,8359,FALSE,French
stan1290,rose,8337,TRUE,French
roma1327,din,8336,FALSE,Romanian
stan1290,marine,8318,TRUE,French
mand1415,con,8313,FALSE,Mandarin Chinese
stan1290,bail,8312,FALSE,French
stan1290,rate,8285,FALSE,French
lati1261,ore,8268,FALSE,Latin
stan1295,rein,8247,FALSE,German
stan1295,rank,8231,FALSE,German
stan1290,hum,8221,FALSE,French
stan1290,news,8213,TRUE,French
stan1290,capital,8202,TRUE,French
stan1288,hot,8200,TRUE,Spanish
stan1290,silence,8192,TRUE,French
poli1260,pot,8175,FALSE,Polish
stan1290,queue,8145,TRUE,French
lati1261,corpus,8143,TRUE,Latin
dutc1256,was,8141,FALSE,Dutch
wels1247,person,8106,TRUE,Welsh
mand1415,pin,8100,FALSE,Mandarin Chinese
stan1290,transport,8086,TRUE,French
stan1295,heavy,8076,TRUE,German
stan1290,drop,8063,TRUE,French
stan1290,parole,8051,TRUE,French
mand1415,pat,8032,FALSE,Mandarin Chinese
stan1288,fine,8009,FALSE,Spanish
mand1415,lift,8002,FALSE,Mandarin Chinese
stan1290,respect,7988,TRUE,French
mand1415,game,7987,TRUE,Mandarin Chinese
nucl1643,rain,7987,FALSE,Japanese
stan1288,bread,7951,FALSE,Spanish
lati1261,mare,7940,FALSE,Latin
mand1415,mean,7939,TRUE,Mandarin Chinese
stan1295,quick,7915,FALSE,German
scot1243,been,7896,FALSE,Scots
stan1295,proper,7890,FALSE,German
stan1290,profit,7883,TRUE,French
stan1288,idea,7875,TRUE,Spanish
stan1288,bar,7855,TRUE,Spanish
lati1261,med,7846,FALSE,Latin
mand1415,friend,7842,TRUE,Mandarin Chinese
mand1415,follow,7841,TRUE,Mandarin Chinese
poli1260,was,7830,FALSE,Polish
mand1415,job,7810,TRUE,Mandarin Chinese
stan1290,master,7806,TRUE,French
stan1290,rang,7795,FALSE,French
mand1415,com,7773,FALSE,Mandarin Chinese
mand1415,tan,7740,FALSE,Mandarin Chinese
stan1288,stop,7732,TRUE,Spanish
stan1295,plane,7720,FALSE,German
wels1247,was,7694,FALSE,Welsh
stan1295,bitten,7684,FALSE,German
stan1290,ensemble,7647,TRUE,French
stan1290,came,7644,FALSE,French
mand1415,parts,7637,FALSE,Mandarin Chinese
stan1295,hammer,7635,TRUE,German
stan1290,science,7618,TRUE,French
stan1290,importance,7616,TRUE,French
stan1290,fur,7609,FALSE,French
lati1261,par,7605,FALSE,Latin
stan1290,gain,7601,TRUE,French
stan1290,possible,7591,TRUE,French
stan1295,butter,7582,TRUE,German
stan1295,leg,7578,FALSE,German
lati1261,ant,7562,FALSE,Latin
roma1327,face,7560,FALSE,Romanian
stan1290,rude,7550,FALSE,French
iris1253,don,7543,FALSE,Irish
stan1295,blind,7533,TRUE,German
stan1290,font,7532,FALSE,French
stan1290,slip,7520,FALSE,French
stan1288,case,7514,FALSE,Spanish
stan1288,fellow,7495,TRUE,Spanish
ital1282,can,7485,FALSE,Italian
mand1415,min,7470,FALSE,Mandarin Chinese
stan1290,disposition,7456,TRUE,French
viet1252,bang,7442,FALSE,Vietnamese
stan1288,principal,7438,TRUE,Spanish
stan1290,tort,7436,FALSE,French
stan1290,tin,7428,FALSE,French
stan1290,pan,7425,TRUE,French
stan1290,value,7423,FALSE,French
stan1290,conscience,7420,TRUE,French
stan1295,private,7416,FALSE,German
stan1295,fault,7415,FALSE,German
mand1415,gun,7414,FALSE,Mandarin Chinese
mand1415,tie,7414,FALSE,Mandarin Chinese
stan1290,dent,7400,FALSE,French
port1283,are,7396,TRUE,Portuguese
lati1261,locus,7386,TRUE,Latin
stan1288,tan,7386,FALSE,Spanish
stan1295,log,7371,TRUE,German
stan1290,occasion,7349,TRUE,French
stan1290,principal,7340,TRUE,French
stan1290,file,7339,FALSE,French
stan1290,green,7335,TRUE,French
stan1290,accident,7331,TRUE,French
stan1290,living,7319,TRUE,French
stan1295,real,7313,TRUE,German
mand1415,gas,7310,TRUE,Mandarin Chinese
stan1290,arts,7308,TRUE,French
stan1290,type,7305,TRUE,French
stan1290,shoot,7299,TRUE,French
stan1290,loose,7293,FALSE,French
ital1282,full,7289,TRUE,Italian
port1283,like,7276,FALSE,Portuguese
lati1261,times,7238,FALSE,Latin
stan1295,miss,7230,FALSE,German
stan1295,different,7202,TRUE,German
lati1261,ratio,7192,FALSE,Latin
stan1290,metal,7187,TRUE,French
scot1245,man,7159,FALSE,Scottish Gaelic
stan1288,cause,7150,TRUE,Spanish
stan1288,meter,7139,FALSE,Spanish
stan1290,square,7135,TRUE,French
stan1290,mat,7124,TRUE,French
mand1415,happy,7113,TRUE,Mandarin Chinese
viet1252,dung,7103,FALSE,Vietnamese
stan1290,dance,7100,TRUE,French
stan1290,don,7099,TRUE,French
stan1290,argument,7085,TRUE,French
port1283,time,7079,FALSE,Portuguese
stan1290,shot,7073,TRUE,French
stan1290,grave,7068,TRUE,French
stan1288,gas,7065,TRUE,Spanish
stan1290,violent,7053,TRUE,French
lati1261,side,7041,FALSE,Latin
dutc1256,hem,7035,FALSE,Dutch
stan1290,pet,7028,TRUE,French
stan1288,ring,7027,TRUE,Spanish
stan1288,mat,7026,TRUE,Spanish
hung1274,get,7016,FALSE,Hungarian
stan1290,genre,7000,TRUE,French
stan1295,gel,6992,TRUE,German
stan1290,test,6946,TRUE,French
stan1290,miner,6943,FALSE,French
ital1282,water,6925,TRUE,Italian
stan1295,frame,6920,FALSE,German
czec1258,slang,6915,TRUE,Czech
stan1290,parts,6914,FALSE,French
stan1295,legal,6910,TRUE,German
stan1295,handle,6899,FALSE,German
mand1415,boy,6890,TRUE,Mandarin Chinese
stan1290,notice,6886,TRUE,French
stan1290,champ,6880,FALSE,French
stan1290,tableau,6878,FALSE,French
stan1290,pile,6873,TRUE,French
stan1290,system,6861,FALSE,French
dutc1256,men,6854,FALSE,Dutch
stan1290,girl,6853,TRUE,French
stan1295,stark,6851,FALSE,German
mand1415,tang,6839,FALSE,Mandarin Chinese
scot1243,time,6823,TRUE,Scots
dutc1256,put,6817,FALSE,Dutch
stan1295,kill,6813,FALSE,German
olde1238,mid,6812,FALSE,Old English (ca. 450-1100)
stan1290,plain,6810,FALSE,French
stan1290,ride,6806,FALSE,French
wels1247,law,6787,FALSE,Welsh
stan1290,boy,6779,TRUE,French
mand1415,idea,6778,TRUE,Mandarin Chinese
stan1290,effort,6773,TRUE,French
stan1290,chat,6768,TRUE,French
stan1290,issue,6768,TRUE,French
port1283,set,6767,TRUE,Portuguese
port1283,tempo,6761,FALSE,Portuguese
stan1290,violence,6753,TRUE,French
stan1290,angle,6734,TRUE,French
stan1290,meeting,6711,FALSE,French
stan1288,valor,6694,TRUE,Spanish
stan1295,title,6689,FALSE,German
stan1295,warm,6675,TRUE,German
mand1415,title,6669,TRUE,Mandarin Chinese
nucl1643,die,6668,FALSE,Japanese
stan1290,bottom,6668,TRUE,French
lati1261,large,6653,FALSE,Latin
ital1282,male,6644,FALSE,Italian
stan1290,soft,6631,TRUE,French
stan1295,hell,6631,FALSE,German
lati1261,care,6630,FALSE,Latin
stan1290,jet,6628,TRUE,French
lati1261,office,6619,FALSE,Latin
stan1288,lie,6618,FALSE,Spanish
stan1290,possession,6609,TRUE,French
stan1290,ire,6608,TRUE,French
stan1290,direct,6603,TRUE,French
stan1290,quick,6600,TRUE,French
stan1290,civil,6593,TRUE,French
lati1261,super,6591,FALSE,Latin
stan1288,post,6583,TRUE,Spanish
dutc1256,water,6580,TRUE,Dutch
stan1290,radio,6554,TRUE,French
lati1261,means,6552,FALSE,Latin
mand1415,lot,6551,FALSE,Mandarin Chinese
stan1290,substance,6550,TRUE,French
stan1290,enter,6544,FALSE,French
stan1290,forces,6541,FALSE,French
stan1288,plan,6527,TRUE,Spanish
stan1290,tube,6512,TRUE,French
stan1290,native,6486,FALSE,French
mand1415,check,6467,TRUE,Mandarin Chinese
stan1290,anal,6445,TRUE,French
scot1245,fear,6435,FALSE,Scottish Gaelic
stan1290,sports,6425,FALSE,French
stan1295,national,6421,TRUE,German
stan1288,dance,6401,TRUE,Spanish
stan1290,bat,6398,FALSE,French
mand1415,song,6389,FALSE,Mandarin Chinese
stan1290,francs,6387,FALSE,French
stan1288,mean,6376,FALSE,Spanish
stan1290,prince,6376,TRUE,French
stan1290,union,6374,TRUE,French
stan1295,wand,6360,FALSE,German
stan1290,plane,6351,FALSE,French
stan1295,dick,6351,FALSE,German
taga1270,may,6345,FALSE,Tagalog
stan1290,camp,6344,TRUE,French
viet1252,bit,6329,TRUE,Vietnamese
scot1243,day,6316,TRUE,Scots
stan1295,human,6312,FALSE,German
mand1415,yuan,6306,FALSE,Mandarin Chinese
stan1288,bit,6303,TRUE,Spanish
stan1290,aide,6281,TRUE,French
stan1290,report,6271,FALSE,French
stan1290,noise,6265,FALSE,French
stan1290,arrive,6259,TRUE,French
nucl1643,yen,6239,FALSE,Japanese
stan1295,fix,6205,FALSE,German
stan1290,milieu,6202,TRUE,French
stan1290,sent,6194,FALSE,French
stan1288,party,6185,TRUE,Spanish
mand1415,pull,6184,FALSE,Mandarin Chinese
stan1290,chagrin,6177,FALSE,French
indo1316,person,6170,TRUE,Standard Indonesian
stan1290,rare,6164,TRUE,French
stan1290,phrase,6157,TRUE,French
lati1261,jus,6155,FALSE,Latin
stan1290,neck,6154,TRUE,French
viet1252,say,6148,FALSE,Vietnamese
stan1290,parties,6131,FALSE,French
stan1290,dresser,6126,FALSE,French
ital1282,fine,6116,TRUE,Italian
stan1288,note,6110,TRUE,Spanish
stan1290,dispute,6088,TRUE,French
lati1261,una,6087,FALSE,Latin
stan1290,lady,6075,TRUE,French
stan1288,era,6071,FALSE,Spanish
mand1415,root,6068,FALSE,Mandarin Chinese
stan1288,media,6068,FALSE,Spanish
mand1415,buy,6065,FALSE,Mandarin Chinese
khas1269,bad,6059,FALSE,Khasi
stan1290,rage,6053,TRUE,French
stan1295,clean,6041,TRUE,German
mand1415,taste,6032,TRUE,Mandarin Chinese
stan1290,points,6001,FALSE,French
stan1288,pro,5996,TRUE,Spanish
stan1290,bridge,5986,TRUE,French
ital1282,play,5981,TRUE,Italian
stan1290,sentence,5979,TRUE,French
stan1295,bald,5966,FALSE,German
stan1290,rat,5965,TRUE,French
stan1288,mesa,5960,TRUE,Spanish
stan1290,labour,5960,FALSE,French
stan1290,unit,5960,FALSE,French
stan1295,toll,5957,FALSE,German
stan1290,fruits,5950,FALSE,French
stan1290,spot,5947,TRUE,French
stan1290,sauce,5939,TRUE,French
stan1290,mas,5934,FALSE,French
mand1415,double,5927,TRUE,Mandarin Chinese
stan1288,superior,5927,TRUE,Spanish
stan1290,influence,5918,TRUE,French
poli1260,has,5915,FALSE,Polish
mand1415,cap,5914,FALSE,Mandarin Chinese
stan1290,plants,5910,FALSE,French
lati1261,style,5900,TRUE,Latin
stan1290,future,5896,FALSE,French
stan1295,male,5892,FALSE,German
wels1247,act,5892,TRUE,Welsh
mand1415,sweet,5888,FALSE,Mandarin Chinese
wels1247,can,5887,TRUE,Welsh
port1283,ship,5883,TRUE,Portuguese
stan1295,halt,5878,FALSE,German
stan1290,source,5868,TRUE,French
stan1288,comer,5864,FALSE,Spanish
stan1288,age,5862,FALSE,Spanish
stan1288,mover,5847,FALSE,Spanish
stan1290,plume,5845,TRUE,French
stan1295,probe,5838,FALSE,German
stan1288,saber,5836,FALSE,Spanish
stan1288,base,5834,TRUE,Spanish
mand1415,list,5827,TRUE,Mandarin Chinese
stan1288,peso,5822,TRUE,Spanish
port1283,come,5819,FALSE,Portuguese
swed1254,man,5817,TRUE,Swedish
stan1290,lime,5809,TRUE,French
stan1290,journal,5803,TRUE,French
stan1290,vote,5800,TRUE,French
tokp1240,long,5794,FALSE,Tok Pisin
stan1290,gone,5786,FALSE,French
ital1282,mare,5779,TRUE,Italian
stan1290,profession,5764,TRUE,French
stan1295,rage,5758,TRUE,German
stan1295,beam,5752,FALSE,German
stan1290,information,5747,TRUE,French
icel1247,til,5745,FALSE,Icelandic
stan1290,signal,5731,TRUE,French
mand1415,warm,5723,TRUE,Mandarin Chinese
stan1288,god,5723,FALSE,Spanish
stan1295,separate,5721,FALSE,German
lati1261,tor,5717,FALSE,Latin
stan1290,religion,5712,TRUE,French
stan1290,rock,5695,TRUE,French
mand1415,social,5693,TRUE,Mandarin Chinese
stan1295,angle,5692,TRUE,German
stan1290,noble,5689,TRUE,French
stan1290,speed,5677,TRUE,French
viet1252,tan,5656,FALSE,Vietnamese
stan1295,royal,5654,TRUE,German
lati1261,eat,5639,FALSE,Latin
stan1290,stage,5637,FALSE,French
stan1288,cable,5632,TRUE,Spanish
stan1288,particular,5630,TRUE,Spanish
