id,glottocode,langname,langfamily,area,population,subsistence,latitude,longitude,avgmonth_tmp,minmonth_tmp,maxmonth_pre,maxmonth_wnd,logpop
other.fijian_gatty_fiji1243,fiji1243,Fijian,Austronesian,Papunesia,333440,other,-18,178.33,24.2519448545244,22.080000368754067,378.5733423868815,3.9,12.717218218107085
mdp.39015032045992,fili1244,Filipino,Austronesian,Papunesia,109035343,other,12.265,123.464,27.60027812321981,26.0133337020874,257.18333969116213,3.3,18.507182635342915
uc1.31822019104678,fili1244,Filipino,Austronesian,Papunesia,109035343,other,12.265,123.464,27.60027812321981,26.0133337020874,257.18333969116213,3.3,18.507182635342915
uc1.l0082966052,fili1244,Filipino,Austronesian,Papunesia,109035343,other,12.265,123.464,27.60027812321981,26.0133337020874,257.18333969116213,3.3,18.507182635342915
mdp.39015059174667,finn1318,Finnish,Uralic,Eurasia,4739460,other,64.7628,25.5577,1.5850000017012158,-11.703333552678426,71.60333442687988,3.9,15.371433763130788
hvd.hwsidp,finn1318,Finnish,Uralic,Eurasia,4739460,other,64.7628,25.5577,1.5850000017012158,-11.703333552678426,71.60333442687988,3.9,15.371433763130788
mdp.39015012954114,finn1318,Finnish,Uralic,Eurasia,4739460,other,64.7628,25.5577,1.5850000017012158,-11.703333552678426,71.60333442687988,3.9,15.371433763130788
pacific.fore_scott_fore1270,fore1270,Fore,Nuclear Trans New Guinea,Papunesia,17000,other,-6.64473,145.5065,19.475833728578355,18.376667149861653,246.89000498453777,4.3,9.740968623038354
loc.ark:/13960/t6155vq1m,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uva.x000310112,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
hvd.hn6ilb,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc2.ark:/13960/t1bk1fq3n,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
osu.32435015765738,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
coo1.ark:/13960/t5h99q03g,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
hvd.hn6nxf,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
nyp.33433075921340,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
nyp.33433070242940,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc2.ark:/13960/t8df6rg39,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39076006801125,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39015064050795,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
chi.086571089,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
osu.32435060762507,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
hvd.hn5wxi,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
nyp.33433082187042,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.49015002909142,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
nyp.33433070239102,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
nyp.33433070239144,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
pst.000053719430,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uiug.30112088352577,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uva.x030266520,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39015066787105,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc1.32106018831229,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc1.32106007947440,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc1.32106018332830,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
hvd.hn6guw,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uiug.30112078557326,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
inu.30000003516691,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc1.32106009314896,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
pst.000065242575,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uc1.31210013101561,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
osu.32435014842900,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
inu.30000053085043,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uiug.30112054773277,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39015046867019,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
nyp.33433082315239,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39015032946850,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
pst.000024563871,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
inu.30000054101781,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39015066439095,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
pst.000055143950,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uva.x000176237,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
uiug.30112088352833,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
mdp.39015046453711,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
inu.30000067224505,stan1290,French,Indo-European,Eurasia,65458630,other,48,2,10.49027797124452,3.1533333867788316,60.83000170389811,4.8,17.99692889800681
pacific.futunuaniwa_capell_futu1245,futu1245,Futuna-Aniwa,Austronesian,Papunesia,1500,other,-19.5303,170.215,22.393611473507352,19.80666707356771,286.5166727701823,3.6,7.313220387090301
webonary.fuyug_bradshaw_fuyu1242,fuyu1242,Fuyug,isolate_fuyu1242,Papunesia,14000,other,-8.6371,147.312,20.108611483044093,18.790000279744465,333.48333841959635,5.1,9.546812608597396
mdp.39015053176965,gaaa1244,Ga,Atlantic-Congo,Africa,600000,other,5.65488,-0.18598,26.580000363455877,24.793333689371742,183.62666905721028,2.7,13.304684934198283
uva.x000967245,gaam1241,Gaam,Eastern Jebel,Africa,67200,other,11.4674,33.9797,26.993055899937943,24.640000279744463,181.96667073567707,2.3,11.115428526511241
uva.x002574026,gade1242,Gade,Atlantic-Congo,Africa,72100,other,8.71139,7.49869,26.76305591265361,24.9100004196167,227.98333689371745,2.8,11.185809323273041
